scenario_id,agent_id,object_type,predictor,ade,fde,beam_timing_error_s,proactive_gain_s,final_uncertainty
abc362bb96b25c1c,4145,pedestrian,KF,0.25124377868764924,0.7217722839884909,,0.0,9.010376766856448
abc362bb96b25c1c,4147,pedestrian,KF,1.1632707124049324,2.8464180527131204,,0.0,9.01037676685647
adcea6e87c4558fa,1290,pedestrian,CV,0.40985417518924505,0.7335460331624251,,0.0,2.0
adcea6e87c4558fa,1291,pedestrian,KF,0.7015188056224987,1.4051420075139103,,0.0,9.01136862549223
adcea6e87c4558fa,1292,pedestrian,CV,0.17984454407349149,0.5215878258547164,,0.0,2.0
ae92386e0686d4d6,2732,pedestrian,CV,0.22707421321158644,0.4872378429774592,,0.0,2.0
ae92386e0686d4d6,2733,pedestrian,CV,0.24347793476142995,0.4664927082008389,,0.0,2.0
ae92386e0686d4d6,2735,pedestrian,CV,0.08910084824153153,0.2951455999337024,,0.0,2.0
ae92386e0686d4d6,2739,pedestrian,KF,0.06687200607922271,0.14697535251057953,,0.0,9.010872694579719
ae92386e0686d4d6,2753,pedestrian,CV,0.30510122699252035,0.6931446861696755,,0.0,2.0
b065dcb23730589b,8044,cyclist,CV,1.4473319399978553,2.985727054701749,,0.0,2.0
b5b52effcbc11899,1156,pedestrian,KF,1.3947218064783364,2.794252225010549,0.1,0.1,9.01037676685647
b682b4171243133d,1243,pedestrian,CV,0.11097352307169774,0.3687974407977909,,0.0,2.0
b6c121ee6748be2e,2728,pedestrian,CV,0.4189788103463917,1.0287909236171313,,0.0,2.0
b6c121ee6748be2e,2729,pedestrian,CV,0.20460991611946416,0.1033815874462426,,0.0,2.0
bf5644083714297,1974,pedestrian,CV,0.24186095514344003,0.4055493246050166,,0.0,2.0
c37fa6a0a21345f3,2925,pedestrian,CV,0.3890580086909153,0.7850554595849986,,0.0,2.0
c511128eee46dcc1,1009,pedestrian,KF,0.1703576313989644,0.2987730773064672,,0.0,9.010376766856464
c6d3e9d6c619e786,1341,pedestrian,KF,0.7409326666788425,1.638123147400279,,0.0,9.01037676685647
c92f5e81941151a4,96,pedestrian,KF,0.011718034663172141,0.02011135782045276,,0.0,9.010376766856472
c92f5e81941151a4,97,pedestrian,CV,0.07302484935932506,0.13134486414358726,,0.0,2.0
c92f5e81941151a4,98,pedestrian,KF,0.13960203032558896,0.23093709774276647,,0.0,9.010376766856472
c92f5e81941151a4,99,pedestrian,CV,0.14091238951337787,0.4714982692197731,,0.0,2.0
c92f5e81941151a4,103,pedestrian,KF,0.06487003266423683,0.10227369466721078,,0.0,9.010376766856472
c92f5e81941151a4,133,pedestrian,CV,0.15415309286753356,0.27108863770834035,,0.0,2.0
c92f5e81941151a4,136,pedestrian,KF,2.5154884650906952,5.520876895853056,,0.0,9.01037676685647
cb481a607e0df310,3462,pedestrian,CV,0.38659546602838274,0.9884099789587306,,0.0,2.0
d4940e640de558c5,555,pedestrian,CV,0.331835288957074,0.6560798205612304,,0.0,2.0
d53adebfe1178441,590,pedestrian,KF,1.3938119040010886,3.0778066167469564,,0.0,9.011368625492231
d84357e99e171a20,57,pedestrian,CV,0.16233316688925598,0.33406705265064296,,0.0,2.0
e3d1b5e3c9e05d41,1609,pedestrian,CV,0.680705272513337,1.2702965104902635,,0.0,2.0
e3d1b5e3c9e05d41,1610,pedestrian,KF,0.14720263186231303,0.29311749446395646,,0.0,9.011368625492231
e3d1b5e3c9e05d41,1611,pedestrian,KF,0.09549244490243439,0.21996195738731802,,0.0,9.011368625492231
e3d1b5e3c9e05d41,1612,pedestrian,KF,0.3413335006449719,0.6676567165973105,,0.0,9.011368625492231
e3d1b5e3c9e05d41,1614,pedestrian,KF,0.6138415387260096,1.1110177172825522,,0.0,9.01186455959754
e3d1b5e3c9e05d41,1615,pedestrian,KF,0.08804195540754053,0.1554113154070101,,0.0,9.011368625492231
e3d1b5e3c9e05d41,1616,pedestrian,KF,0.6283512022533775,0.9370880978324999,,0.0,9.011368625492231
e3d1b5e3c9e05d41,1622,pedestrian,KF,0.05438943934335331,0.02409367223417744,,0.0,9.009880842318957
e9653159c09f5c72,4373,pedestrian,CV,0.6814646677977515,1.5779092368691294,,0.0,2.0
e9653159c09f5c72,4374,pedestrian,CV,0.8232148343611114,1.8743758306723282,,0.0,2.0
e9653159c09f5c72,4375,pedestrian,CV,0.2758656792529111,0.5966993902699247,,0.0,2.0
e9653159c09f5c72,4378,pedestrian,CV,0.8082588493084356,1.8866215534656727,,0.0,2.0
e9653159c09f5c72,4398,pedestrian,CV,0.18148737025448006,0.3337774152355613,,0.0,2.0
e9653159c09f5c72,4402,pedestrian,CV,0.1754161330933877,0.18938960918341385,,0.0,2.0
e9653159c09f5c72,4410,pedestrian,CV,0.5836571802180877,1.498946316713149,,0.0,2.0
e9653159c09f5c72,4423,pedestrian,CV,0.8083209749003036,1.519036691048322,,0.0,2.0
e9653159c09f5c72,4439,pedestrian,CV,0.3569010076672487,0.9603580678384096,,0.0,2.0
eb2e689ca1fdb0cf,3190,pedestrian,CV,1.8931893428853848,4.854885120521697,,0.0,2.0
